"Date","SSP_MCS","MCS_SSP","MCS_SCHL","SHEN_TDS","MCS_CCOI","CCOI_MCS","MCS_ATNI","ATNI_SSP","TDS_SHEN","TDS_SCHL","TDS_ATNI","TDS_MCS","TDS_CCOI","ATNI_MCS","SSP_SCHL","SSP_CCOI","MCS_TDS","SSP_SHEN","SSP_TDS","SHEN_SCHL","SHEN_SSP","SCHL_MCS","SHEN_CCOI","CCOI_ATNI","ATNI_CCOI","TDS_SSP","CCOI_SSP","ATNI_TDS","SCHL_TDS","ATNI_SHEN","SCHL_SHEN","CCOI_SHEN","SCHL_CCOI","MCS_SHEN","SCHL_ATNI","SHEN_ATNI","SCHL_SSP","SHEN_MCS"
2006-04-24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-04-25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-04-26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-04-27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-04-28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-04,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-08,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-05-31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-06,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-07,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-08,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-06-30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-07-03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2006-07-05,100.38122355004,99.6188069006158,99.9250192305613,99.0518765032089,99.802872868231,99.8028849822634,99.2169172517816,99.5981079112768,100.948125120953,101.734805774344,101.026690234879,98.1902213661786,101.612697383472,99.2169000416365,99.6938002327876,99.8158860110185,98.1901859422323,100.480480653495,101.428558388367,100.786695125707,100.480474240212,100.075006401983,100.664582118976,99.4140029154583,99.4140359048541,101.428602485159,100.184099499651,101.026690274616,98.2651628718449,99.9214112134984,100.786679593879,99.3354134369731,100.122142694153,99.1383317451661,100.708118603845,100.078601360129,99.6937693417454,100.861684354686
2006-07-06,100.421024720234,99.579318727545,101.375196578523,99.6733260681633,99.840858964273,99.8408652312388,97.979230943243,98.39515320468,100.31476003051,102.379004948185,98.939993597868,98.9934336969043,100.820128857506,97.9792265221438,98.2074263905866,99.7383042986311,98.9934207049573,100.249077247215,100.558644224952,102.057250927335,100.249077273121,98.6226271058175,100.510976590366,98.1360366816228,98.1360436173092,102.298531743644,100.261949374909,98.9400094080411,98.887401188888,101.358403482853,102.057248319868,99.4869747335513,101.537082661136,99.3273057716391,103.425974882545,98.6393587107006,98.2074029047055,100.66940047561
2006-07-07,100.878843924172,99.1252971828867,102.247759024572,101.681598874445,98.5528152313363,98.5527766004285,98.2655986827962,99.1313825116992,98.2935726774891,103.653502124516,99.6092772033912,98.6131165129931,99.9067404354804,98.2655978249489,96.9143750916133,100.570329900928,98.6131179697116,102.197005418852,100.486466368717,105.384032589245,102.197011968913,97.7737406662985,101.625509721082,99.6889507451437,99.688961187008,102.371969616993,99.4255745337331,99.6092675535443,97.6563395924728,98.6305215839539,105.38401039521,98.3837964223193,103.720987690318,96.9444495604412,104.013832798032,101.294055320095,96.9143662371503,103.08448810813
2006-07-10,98.7691866950734,101.19830977104,103.326695576719,102.487520458335,98.8936392127692,98.8936169278741,101.917090552104,100.741885087171,99.0726171885308,102.370646167715,101.026730698082,100.874222074311,97.9614546995989,101.917076131319,97.9184707628715,102.325726564109,100.874238057799,101.180987025952,100.283875634413,107.523574473756,103.213050521774,96.7420194170048,104.40968549264,103.048524715889,103.048567878892,102.578342178036,97.6901357092457,101.026735240233,98.8649786292478,99.25235652986,103.244478368468,101.079136073635,104.456762035836,99.9356528299957,101.246325405219,100.655455694326,97.9184546634152,106.26515576992
2006-07-11,97.535769932721,99.9345628683325,103.54463625987,102.921726299342,97.0839229440076,97.0839325291859,100.333285965167,100.434390377464,98.6528977340947,103.790108674328,100.644531298575,99.688253505559,97.3205951496673,100.333256758772,96.4891613364256,102.920439631226,99.6882504360781,101.535686542376,100.210591334409,109.470017798753,103.574900779514,96.5379799310348,104.168933359978,103.332914409157,103.332948780751,102.65330336701,97.1223878899312,100.644531788945,97.4941186819681,99.2073597206071,105.113494737669,101.312239454572,106.588587760763,98.3372733275943,103.033273992384,100.701102073952,96.4891709401961,107.96473226258
